"iyear","country_txt","latitude","longitude","attacktype1_txt","nkill"
1970,"Greece",37.99749,23.762728,"Bombing/Explosion",NA
1970,"Italy",41.890961,12.490069,"Hijacking",0
1970,"West Germany (FRG)",48.139126,11.580186,"Armed Assault",1
1970,"West Germany (FRG)",48.139126,11.580186,"Facility/Infrastructure Attack",7
1970,"West Germany (FRG)",50.11797,8.644191,"Bombing/Explosion",0
1970,"Switzerland",47.36865,8.539182,"Bombing/Explosion",47
1970,"Italy",41.890961,12.490069,"Bombing/Explosion",0
1970,"Spain",NA,NA,"Hostage Taking (Kidnapping)",0
1970,"West Germany (FRG)",48.139126,11.580186,"Bombing/Explosion",0
1970,"Ireland",53.361675,-6.245485,"Armed Assault",1
1970,"West Germany (FRG)",52.50153,13.401851,"Facility/Infrastructure Attack",0
1970,"Switzerland",46.198392,6.142296,"Bombing/Explosion",NA
1970,"West Germany (FRG)",52.50153,13.401851,"Facility/Infrastructure Attack",NA
1970,"West Germany (FRG)",52.50153,13.401851,"Armed Assault",NA
1970,"West Germany (FRG)",52.50153,13.401851,"Armed Assault",NA
1970,"West Germany (FRG)",52.50153,13.401851,"Armed Assault",NA
1970,"West Germany (FRG)",52.50153,13.401851,"Facility/Infrastructure Attack",NA
1970,"West Germany (FRG)",52.50153,13.401851,"Facility/Infrastructure Attack",NA
1970,"West Germany (FRG)",52.50153,13.401851,"Facility/Infrastructure Attack",NA
1970,"United Kingdom",55.011562,-7.312045,"Armed Assault",5
1970,"United Kingdom",55.011562,-7.312045,"Armed Assault",3
1970,"United Kingdom",54.607712,-5.95621,"Armed Assault",1
1970,"United Kingdom",54.607712,-5.95621,"Armed Assault",1
1970,"United Kingdom",54.607712,-5.95621,"Armed Assault",3
1970,"West Germany (FRG)",48.139126,11.580186,"Facility/Infrastructure Attack",NA
1970,"Greece",37.99749,23.762728,"Hijacking",0
1970,"Spain",42.815372,-1.653616,"Bombing/Explosion",NA
1970,"Netherlands",52.370216,4.895168,"Armed Assault",NA
1970,"Belgium",50.836426,4.367415,"Bombing/Explosion",0
1970,"United Kingdom",54.077313,-6.608787,"Bombing/Explosion",2
1970,"Greece",37.99749,23.762728,"Bombing/Explosion",2
1970,"United Kingdom",54.607712,-5.95621,"Bombing/Explosion",1
1970,"West Germany (FRG)",50.11797,8.644191,"Hijacking",0
1970,"Switzerland",47.36865,8.539182,"Hijacking",0
1970,"Netherlands",52.370216,4.895168,"Hijacking",0
1970,"Netherlands",52.370216,4.895168,"Hijacking",1
1970,"United Kingdom",51.504387,-0.140041,"Hostage Taking (Kidnapping)",0
1970,"United Kingdom",54.607712,-5.95621,"Armed Assault",1
1970,"West Germany (FRG)",48.777106,9.180769,"Bombing/Explosion",0
1970,"West Germany (FRG)",48.139126,11.580186,"Bombing/Explosion",NA
1970,"West Germany (FRG)",48.139126,11.580186,"Bombing/Explosion",NA
1970,"Italy",41.890961,12.490069,"Unarmed Assault",0
1970,"United Kingdom",51.504387,-0.140041,"Facility/Infrastructure Attack",0
1970,"West Germany (FRG)",50.11797,8.644191,"Armed Assault",0
1970,"United Kingdom",54.607712,-5.95621,"Armed Assault",2
1970,"West Germany (FRG)",50.11797,8.644191,"Armed Assault",0
1970,"Spain",43.291618,-1.977903,"Hostage Taking (Kidnapping)",0
1970,"United Kingdom",54.607712,-5.95621,"Armed Assault",1
1970,"Spain",42.919882,-3.060073,"Bombing/Explosion",0
1970,"West Germany (FRG)",49.294642,8.69774,"Armed Assault",NA
1971,"West Germany (FRG)",48.139126,11.580186,"Bombing/Explosion",NA
1971,"West Germany (FRG)",48.139126,11.580186,"Bombing/Explosion",NA
1971,"West Germany (FRG)",48.139126,11.580186,"Facility/Infrastructure Attack",NA
1971,"West Germany (FRG)",48.139126,11.580186,"Bombing/Explosion",NA
1971,"United Kingdom",54.607712,-5.95621,"Assassination",1
1971,"West Germany (FRG)",48.139126,11.580186,"Bombing/Explosion",0
1971,"West Germany (FRG)",50.11797,8.644191,"Bombing/Explosion",NA
1971,"United Kingdom",54.607712,-5.95621,"Assassination",1
1971,"United Kingdom",54.63797,-6.14485,"Assassination",1
1971,"United Kingdom",54.452223,-7.486124,"Bombing/Explosion",5
1971,"Sweden",57.696994,11.9865,"Armed Assault",0
1971,"United Kingdom",54.607712,-5.95621,"Assassination",1
1971,"United Kingdom",54.607712,-5.95621,"Assassination",2
1971,"United Kingdom",54.607712,-5.95621,"Assassination",1
1971,"West Germany (FRG)",48.139126,11.580186,"Armed Assault",NA
1971,"West Germany (FRG)",49.4019,8.680285,"Bombing/Explosion",NA
1971,"United Kingdom",54.607712,-5.95621,"Assassination",1
1971,"Netherlands",51.924216,4.481776,"Bombing/Explosion",0
1971,"Spain",28.505025,-16.192648,"Bombing/Explosion",0
1971,"West Germany (FRG)",52.50153,13.401851,"Facility/Infrastructure Attack",NA
1971,"Italy",45.469212,9.174508,"Bombing/Explosion",0
1971,"Spain",40.465595,-3.696263,"Bombing/Explosion",0
1971,"Spain",41.400635,2.150913,"Bombing/Explosion",0
1971,"Sweden",59.332788,18.064488,"Assassination",1
1971,"Spain",41.400635,2.150913,"Bombing/Explosion",0
1971,"Spain",42.815372,-1.653616,"Bombing/Explosion",NA
1971,"Spain",41.400635,2.150913,"Bombing/Explosion",NA
1971,"West Germany (FRG)",52.50153,13.401851,"Bombing/Explosion",NA
1971,"Spain",43.291618,-1.977903,"Hostage Taking (Kidnapping)",NA
1971,"United Kingdom",54.607712,-5.95621,"Facility/Infrastructure Attack",1
1971,"Greece",37.742578,20.896502,"Armed Assault",0
1971,"United Kingdom",54.607712,-5.95621,"Assassination",1
